WORD,CLUE
NATURISTE,type de plage que l'on peut retrouver sur la côte bleue
CORNEMUSE,instrument typique d'Écosse
EPINGLES,"fleur orange spéciale qui a traversé la manche en avion, PELOTE d'___ "
DOCTEUR,ton bientôt titre
MADELEINES,ta spécialité en patisserie
SHALLOW,ta spécialité en guitare
GUARIMPRIMANTE,ta machine qui travaille avec du filament
BIVALVES,famille marine pour étudier le passé
MANGENT,"""un chat, une tortue, des poissons rouges, ils ne ___ rien"" selon Feu Chatterton"
CERULEAN,couleur du ciel selon le diable
MABICHE,"à qui chanter ""ich liebe dich"" (deux mots)"
POULENAIS,langage de poules
DODOS,"oiseau disparu, peluche, et toi"
BEANS,petit déjeuner britannique (ang.)
POLOGNE,destination de rêve pour un geek de camps de concentration
OUEST,sens boussole du coucher de soleil
CONE,forme de crane d'un Buckingham Palace Guard
SHAKSHOUKA,"vraie écriture d'un plat africain aux tomates, poivrons, œufs"
ESPAGNE,déstination éclipse 2026
ESPERANCE,ta copine en français
MAIL,"quoi signer avec ""bien cordialement"""
RAGE,ce qu'on ressent quand on nous coupe la route
AAA,type de pile que tu m'as prêté pour le projecteur
SHORT,adjectif qu'on peut donner à du pain en Écosse (ang.)
PINKY,le plus petit doigt (ang.)
SUIT,tenue pour une occasion spéciale (ang.)
MUE,renouvellement de la peau/poils/plumes d'un animal
NOTES,* ce que tu as donné à tes étudiants hier après avoir donné 2
TER,train local je peux prendre pour venir te voir
ORAGE,temps cosy pour rester sous la couette
SEEN,"participe passé de ""voir"" (ang.)"
SEPT,racine carré de 49
OURSIN,tu as une squelette de cet animal dans ta chambre
UNO,jeu de cartes où il faut parler Éspagnol
EON,une très longue période de temps
MANTECADOS,biscuit que ta mère fait à Noël
KISSES,ce avec quoi je te couvrirais si j'étais là (ang.)
CEREGE,nom de l'organisation dans laquelle tu es actuellement
SESAME,graines qui peuvent sauver tout plat moche en garniture
MER,on peut plonger dedans
HAMAC,lit pour un matelot
SOL,"du carrelage, par exemple"
EN,** ville où tu es (avec 43 et 19)
ASSIS,"position confortable pour faire ce puzzle, par exemple"
TROU,"ce que l'on crée quand on creuse, par exemple"
RASER,ce que tu te fais de temps en temps pour que ta barbe me gratte
TEA,boisson chaude à boire avec des mini gâteaux et sandwichs (ang.)
EXAMEN,* ce que tu as donné à tes étudiants avant 10
ULTIME,qui vient en tout dernier lieu dans le temps
GO,opposé de STOP (ang.)
PUB,bon endroit pour prendre un verre
AIX,** ville où tu es (avec 35 et 19)
CANARD,ça casse pas trois pattes à un ___
LONDRES,ville à 1 000 km (mais qui compte…)
XAVIER,instructeur de plongée en Malaisie
PROVENCE,** ville où tu es (avec 43 et 35)
BA,bruit que fait un mouton (au moins à mon avis)
MARIONDUFRESNE,le plus grand navire de la flotte océanographique française
TAVERNE,ce que tu gères avec Maëva de temps en temps
COCOON,tu me manques comme son ___ manque à un papillon
ZANAHORIAS,ni carottas ni carottos
RUSSES,"ceux qui aiment prendre du champagne pour le petit dej, selon ton père"